network,node,node_group,node_strength,node_degree_centrality,node_betweenness,node_eigen,node_closeness
all,110,group1,21.0,0.21428571428571427,0.10476190476190478,0.41079983618410126,0.5464767616191905
all,111,group1,18.0,0.1836734693877551,0.007799671592775041,0.4111668392890156,0.47430058555627846
all,112,group1,15.0,0.15306122448979592,0.034177809054656345,0.32450934537183335,0.49290060851926976
all,113,group1,7.0,0.07142857142857142,0.027218703573383376,0.17268122243140985,0.441016333938294
all,114,group1,9.0,0.09183673469387756,0.0915562201892251,0.12517580050104954,0.46551724137931033
all,115,group1,3.0,0.030612244897959183,0.011435608726249121,0.07490858804196396,0.3990147783251231
all,116,group1,5.0,0.05102040816326531,0.18226600985221675,0.04280530645846016,0.40545050055617354
all,117,group1,2.0,0.02040816326530612,0.007101806239737276,0.05629810256820604,0.3990147783251231
all,121,group1,2.0,0.02040816326530612,0.0,0.0032834833572449353,0.28894173602853745
all,122,group1,4.0,0.04081632653061224,0.003581202595980921,0.03977664229002067,0.38087774294670845
all,124,group1,1.0,0.01020408163265306,0.0,0.003049557002735112,0.2856583072100313
all,125,group1,1.0,0.01020408163265306,0.0,0.008865800800202769,0.2793103448275862
all,211,group2,6.0,0.061224489795918366,0.07142857142857144,0.12444684240235138,0.3927801724137931
all,213,group2,12.0,0.12244897959183673,0.1309093752443506,0.23847945488135006,0.49290060851926976
all,214,group2,19.0,0.19387755102040816,0.2368519821721792,0.31615433664354353,0.5464767616191905
all,310,group3,5.0,0.05102040816326531,0.01712800062553757,0.05563653321438171,0.40545050055617354
all,311,group3,3.0,0.030612244897959183,0.06403940886699508,0.045277139727778595,0.35911330049261087
all,312,group3,1.0,0.01020408163265306,0.0,0.0032256987708369723,0.26185344827586204
all,313,group3,2.0,0.02040816326530612,0.002199155524278677,0.052793718393482285,0.37519300051466803
all,314,group3,1.0,0.01020408163265306,0.0,0.008345750880664728,0.3307622504537205
all,318,group3,23.0,0.23469387755102042,0.06376964578935021,0.47407999809538914,0.5586206896551724
all,319,group3,5.0,0.05102040816326531,0.007419462037688638,0.06135784551980791,0.3990147783251231
all,415,group4,1.0,0.01020408163265306,0.0,0.01698978341755468,0.3264666368114644
all,418,group4,3.0,0.030612244897959183,0.001993901008679334,0.049804180310589634,0.3696754563894523
all,419,group4,2.0,0.02040816326530612,0.0,0.0032834833572449353,0.28894173602853745
all,510,group5,7.0,0.07142857142857142,0.2733481898506529,0.11714563807591045,0.5027586206896552
all,511,group5,3.0,0.030612244897959183,0.001993901008679334,0.049804180310589634,0.3696754563894523
all,512,group5,1.0,0.01020408163265306,0.0,8.618941122542568e-12,0.034482758620689655
all,513,group5,1.0,0.01020408163265306,0.0,8.618941122542568e-12,0.034482758620689655
all,514,group5,13.0,0.1326530612244898,0.1275246305418719,0.2669672392628481,0.5027586206896552
pinks,110,group1,6.0,0.14634146341463414,0.11086691086691088,0.21580203605878423,0.5833333333333334
pinks,111,group1,16.0,0.3902439024390244,0.3605283605283605,0.5461688498650235,0.8235294117647058
pinks,112,group1,9.0,0.21951219512195122,0.1914196914196914,0.32085352023404584,0.6666666666666666
pinks,113,group1,11.0,0.2682926829268293,0.14593739593739594,0.446693869698979,0.6666666666666666
pinks,114,group1,3.0,0.07317073170731707,0.004639804639804641,0.13676617310922126,0.5
pinks,115,group1,3.0,0.07317073170731707,0.003746253746253747,0.07392506030014338,0.4375
pinks,118,group1,4.0,0.0975609756097561,0.020068820068820072,0.19532037210202835,0.5185185185185185
